FID,DNBR,MASK,RGB_prefire,RGB_within_fire_period,RGB_post_fire
9844,S2B_L2A_T19NBD_9844_20210105T151709_20210321T151701_10m_DNBR.TIF,S2B_L2A_T19NBD_9844_20210105T151709_20210321T151701_10m_MASK.TIF,-,S2B_L2A_T19NBD_9844_20210105T151709_10m_RGB.TIF,S2A_L2A_T19NBD_9844_20210321T151701_10m_RGB.TIF
9844,S2B_L2A_T18NZJ_9844_20210115T151709_20210321T151701_10m_DNBR.TIF,S2B_L2A_T18NZJ_9844_20210115T151709_20210321T151701_10m_MASK.TIF,-,S2B_L2A_T18NZJ_9844_20210115T151709_10m_RGB.TIF,S2A_L2A_T18NZJ_9844_20210321T151701_10m_RGB.TIF
9844,S2A_L2A_T19NBD_9844_20210130T151701_20210321T151701_10m_DNBR.TIF,S2A_L2A_T19NBD_9844_20210130T151701_20210321T151701_10m_MASK.TIF,-,S2A_L2A_T19NBD_9844_20210130T151701_10m_RGB.TIF,S2A_L2A_T19NBD_9844_20210321T151701_10m_RGB.TIF
9844,S2A_L2A_T19NBD_9844_20210301T151701_20210321T151701_10m_DNBR.TIF,S2A_L2A_T19NBD_9844_20210301T151701_20210321T151701_10m_MASK.TIF,-,S2A_L2A_T19NBD_9844_20210301T151701_10m_RGB.TIF,S2A_L2A_T19NBD_9844_20210321T151701_10m_RGB.TIF
9844,S2A_L2A_T19NBD_9844_20201231T151701_20210321T151701_10m_DNBR.TIF,S2A_L2A_T19NBD_9844_20201231T151701_20210321T151701_10m_MASK.TIF,-,S2A_L2A_T19NBD_9844_20201231T151701_10m_RGB.TIF,S2A_L2A_T19NBD_9844_20210321T151701_10m_RGB.TIF
9844,S2A_L2A_T18NZJ_9844_20210301T151701_20210321T151701_10m_DNBR.TIF,S2A_L2A_T18NZJ_9844_20210301T151701_20210321T151701_10m_MASK.TIF,-,S2A_L2A_T18NZJ_9844_20210301T151701_10m_RGB.TIF,S2A_L2A_T18NZJ_9844_20210321T151701_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210218T171341_20210424T170839_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210424T170839_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210218T171341_20210414T170849_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210414T170849_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210218T171341_20210429T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210429T170851_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210218T171341_20210419T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210419T170851_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210429T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210429T170851_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210419T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210419T170851_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210424T170839_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210424T170839_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210414T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210414T170849_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210228T171241_20210424T170839_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210424T170839_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210228T171241_20210414T170849_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210414T170849_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210228T171241_20210429T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210429T170851_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210228T171241_20210419T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210419T170851_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210419T170851_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210429T170851_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210429T170851_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210419T170851_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210419T170851_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210424T170839_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210424T170839_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210414T170849_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210414T170849_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210223T171309_20210424T170839_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210424T170839_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210424T170839_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210223T171309_20210414T170849_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210414T170849_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,-,S2B_L2A_T15STC_11862_20210414T170849_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210223T171309_20210429T170851_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210429T170851_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210429T170851_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210223T171309_20210419T170851_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210419T170851_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,-,S2A_L2A_T15STC_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210429T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210429T170851_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210419T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210419T170851_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,-,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210424T170839_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210424T170839_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210414T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210414T170849_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,-,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210218T171341_20210320T171011_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210320T171011_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,-
11862,S2A_L2A_T15STC_11862_20210218T171341_20210404T170849_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210218T171341_20210404T170849_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210218T171341_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210320T171011_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210320T171011_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210330T170901_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210330T170901_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210218T171341_20210404T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210218T171341_20210404T170849_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210218T171341_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,-
11862,S2A_L2A_T15STC_11862_20210228T171241_20210320T171011_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210320T171011_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,-
11862,S2A_L2A_T15STC_11862_20210228T171241_20210404T170849_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210228T171241_20210404T170849_10m_MASK.TIF,S2A_L2A_T15STC_11862_20210228T171241_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,-
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210320T171011_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210320T171011_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,-
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210330T170901_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210330T170901_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,-
11862,S2B_L2A_T14SQH_11862_20210223T171309_20210404T170849_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210223T171309_20210404T170849_10m_MASK.TIF,S2B_L2A_T14SQH_11862_20210223T171309_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,-
11862,S2B_L2A_T15STC_11862_20210223T171309_20210320T171011_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210320T171011_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,-
11862,S2B_L2A_T15STC_11862_20210223T171309_20210404T170849_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210223T171309_20210404T170849_10m_MASK.TIF,S2B_L2A_T15STC_11862_20210223T171309_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210320T171011_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210320T171011_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210330T170901_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210330T170901_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210228T171241_20210404T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210228T171241_20210404T170849_10m_MASK.TIF,S2A_L2A_T14SQH_11862_20210228T171241_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,-
11862,S2A_L2A_T14SQH_11862_20210320T171011_20210429T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210320T171011_20210429T170851_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210320T171011_20210419T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210320T171011_20210419T170851_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210320T171011_20210424T170839_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210320T171011_20210424T170839_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210320T171011_20210414T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210320T171011_20210414T170849_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210320T171011_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210320T171011_20210424T170839_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210320T171011_20210424T170839_10m_MASK.TIF,-,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210320T171011_20210414T170849_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210320T171011_20210414T170849_10m_MASK.TIF,-,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210414T170849_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210320T171011_20210429T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210320T171011_20210429T170851_10m_MASK.TIF,-,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T15STC_11862_20210320T171011_20210419T170851_10m_DNBR.TIF,S2A_L2A_T15STC_11862_20210320T171011_20210419T170851_10m_MASK.TIF,-,S2A_L2A_T15STC_11862_20210320T171011_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210419T170851_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210404T170849_20210424T170839_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210404T170849_20210424T170839_10m_MASK.TIF,-,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210424T170839_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210404T170849_20210414T170849_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210404T170849_20210414T170849_10m_MASK.TIF,-,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,S2B_L2A_T15STC_11862_20210414T170849_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210404T170849_20210429T170851_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210404T170849_20210429T170851_10m_MASK.TIF,-,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210429T170851_10m_RGB.TIF
11862,S2B_L2A_T15STC_11862_20210404T170849_20210419T170851_10m_DNBR.TIF,S2B_L2A_T15STC_11862_20210404T170849_20210419T170851_10m_MASK.TIF,-,S2B_L2A_T15STC_11862_20210404T170849_10m_RGB.TIF,S2A_L2A_T15STC_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210330T170901_20210429T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210330T170901_20210429T170851_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210330T170901_20210419T170851_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210330T170901_20210419T170851_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210330T170901_20210424T170839_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210330T170901_20210424T170839_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2A_L2A_T14SQH_11862_20210330T170901_20210414T170849_10m_DNBR.TIF,S2A_L2A_T14SQH_11862_20210330T170901_20210414T170849_10m_MASK.TIF,-,S2A_L2A_T14SQH_11862_20210330T170901_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210404T170849_20210429T170851_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210404T170849_20210429T170851_10m_MASK.TIF,-,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210429T170851_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210404T170849_20210419T170851_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210404T170849_20210419T170851_10m_MASK.TIF,-,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,S2A_L2A_T14SQH_11862_20210419T170851_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210404T170849_20210424T170839_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210404T170849_20210424T170839_10m_MASK.TIF,-,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210424T170839_10m_RGB.TIF
11862,S2B_L2A_T14SQH_11862_20210404T170849_20210414T170849_10m_DNBR.TIF,S2B_L2A_T14SQH_11862_20210404T170849_20210414T170849_10m_MASK.TIF,-,S2B_L2A_T14SQH_11862_20210404T170849_10m_RGB.TIF,S2B_L2A_T14SQH_11862_20210414T170849_10m_RGB.TIF
11862,LC08_L1GT_027034_11862_20210125_20210618_10m_DNBR.TIF,LC08_L1GT_027034_11862_20210125_20210618_10m_MASK.TIF,LC08_L1GT_027034_11862_20210125_10m_RGB.TIF,-,LC08_L1TP_027034_11862_20210618_10m_RGB.TIF
12887,S2A_L2A_T17RNK_12887_20210408T155901_20210525T160511_10m_DNBR.TIF,S2A_L2A_T17RNK_12887_20210408T155901_20210525T160511_10m_MASK.TIF,S2A_L2A_T17RNK_12887_20210408T155901_10m_RGB.TIF,S2A_L2A_T17RNK_12887_20210525T160511_10m_RGB.TIF,-
12887,S2A_L2A_T17RNK_12887_20210428T155901_20210525T160511_10m_DNBR.TIF,S2A_L2A_T17RNK_12887_20210428T155901_20210525T160511_10m_MASK.TIF,S2A_L2A_T17RNK_12887_20210428T155901_10m_RGB.TIF,S2A_L2A_T17RNK_12887_20210525T160511_10m_RGB.TIF,-
12887,S2B_L2A_T17RNK_12887_20210413T155819_20210525T160511_10m_DNBR.TIF,S2B_L2A_T17RNK_12887_20210413T155819_20210525T160511_10m_MASK.TIF,S2B_L2A_T17RNK_12887_20210413T155819_10m_RGB.TIF,S2A_L2A_T17RNK_12887_20210525T160511_10m_RGB.TIF,-
202,S2B_L2A_T11VNF_202_20190408T185919_20190829T190919_10m_DNBR.TIF,S2B_L2A_T11VNF_202_20190408T185919_20190829T190919_10m_MASK.TIF,S2B_L2A_T11VNF_202_20190408T185919_10m_RGB.TIF,-,S2B_L2A_T11VNF_202_20190829T190919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190424T191919_20190812T191919_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190424T191919_20190812T191919_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190424T191919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190812T191919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190424T191919_20190822T191919_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190424T191919_20190822T191919_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190424T191919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190822T191919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190424T191919_20190806T185929_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190424T191919_20190806T185929_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190424T191919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190806T185929_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190424T191919_20190829T190919_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190424T191919_20190829T190919_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190424T191919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190829T190919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190408T185919_20190812T191919_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190408T185919_20190812T191919_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190408T185919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190812T191919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190408T185919_20190822T191919_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190408T185919_20190822T191919_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190408T185919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190822T191919_10m_RGB.TIF
202,S2B_L2A_T11VMF_202_20190408T185919_20190806T185929_10m_DNBR.TIF,S2B_L2A_T11VMF_202_20190408T185919_20190806T185929_10m_MASK.TIF,S2B_L2A_T11VMF_202_20190408T185919_10m_RGB.TIF,-,S2B_L2A_T11VMF_202_20190806T185929_10m_RGB.TIF
